R105

VEHICLE
NUMBER     CAPACITY
  20         180

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         40          0          0        220          0   
    1      45         52         12          0        200         10   
    2      38         20          8          0        195         10   
    3      50         42         15          0        190         10   
    4      52         25         17        140        155         10   
    5      18         35         22          0        185         10   
    6      28         32          5          0        200         10   
    7      22         48          7          0        190         10   
    8      12         40         11         90        100         10   
    9      58         58         14         95        105         10   
   10      32         62         18          0        185         10   
   11      25         68         10         65         75         10   
   12      48         38         16          0        195         10   
   13      35         28         20        150        165         10   
   14      18         15         18          0        180         10   
   15      32          8         10         60         70         10   
